event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
1,1,Atlético GO,away, 17 ,Goal, Dudu , Diego Churín 
2,1,América MG,home, 35 ,Yellow card, Alê ,
3,1,Atlético GO,away, 39 ,Red card, Willian Maranhão ,
4,1,América MG,home, 40 ,Yellow card, Everaldo Junior ,
5,1,Atlético GO,away, 42 ,Substitution, Edson Fernando , Shaylon 
6,1,América MG,home, 53 ,Goal, Henrique Almeida , Martín Benítez 
7,1,América MG,home, 45 ,Substitution, Matheusinho , Felipe Azevedo 
8,1,Atlético GO,away, 45 ,Substitution, Jorginho , Wellington Rato 
9,1,Atlético GO,away, 55 ,Disallowed goal,Disallowed goal,
10,1,América MG,home, 58 ,Substitution, Wellington Paulista , Henrique Almeida 
11,1,América MG,home, 58 ,Substitution, Juan Ramírez , Alê 
12,1,Atlético GO,away, 59 ,Yellow card, Jorginho ,
13,1,América MG,home, 70 ,Substitution, Danilo Avelar , Marlon 
14,1,América MG,home, 73 ,Substitution, Patric , Raúl Cáceres 
15,1,Atlético GO,away, 77 ,Substitution, Airton , Luiz Fernando 
16,1,Atlético GO,away, 82 ,Substitution, Rhaldney , Dudu 
17,1,Atlético GO,away, 82 ,Substitution, Kelvin , Diego Churín 
18,1,Atlético GO,away, 85 ,Yellow card, Edson Fernando ,
19,1,América MG,home, 96 ,Yellow card, Airton ,
20,1,América MG,home, 97 ,Disallowed goal,Disallowed goal,
21,2,Fluminense,away, 31 ,Goal, Germán Cano , Jhon Arias 
22,2,Fluminense,away, 44 ,Yellow card, André ,
23,2,RB Bragantino,home, 44 ,Yellow card, Alerrandro ,
24,2,Fluminense,away, 49 ,Yellow card, Yago Felipe ,
25,2,RB Bragantino,home, 45 ,Substitution, Guilherme Santos , Alerrandro 
26,2,RB Bragantino,home, 58 ,Yellow card, Aderlan ,
27,2,Fluminense,away, 62 ,Substitution, Nathan , Yago Felipe 
28,2,RB Bragantino,home, 64 ,Substitution, Bruninho , Raul 
29,2,RB Bragantino,home, 64 ,Substitution, Ramon , Gabriel Novaes 
30,2,Fluminense,away, 75 ,Substitution, Felipe Melo , Martinelli 
31,2,Fluminense,away, 75 ,Substitution, Michel Araújo , Matheus Martins 
32,2,Fluminense,away, 81 ,Substitution, Alan , Germán Cano 
33,2,Fluminense,away, 82 ,Substitution, David Braz , Manoel 
34,2,RB Bragantino,home, 83 ,Yellow card, Ramon ,
35,2,RB Bragantino,home, 89 ,Substitution, Nathan Camargo , Lucas Evangelista 
36,2,RB Bragantino,home, 89 ,Substitution, Hyoran , Jadsom Silva 
37,3,Internacional,home, 10 ,Goal, Maurício , Alemão 
38,3,Palmeiras,away, 23 ,Yellow card, Eduard Atuesta ,
39,3,Internacional,home, 33 ,Yellow card, Alemão ,
40,3,Internacional,home, 39 ,Goal, Alemão , Maurício 
41,3,Palmeiras,away, 45 ,Substitution, Tabata , Eduard Atuesta 
42,3,Palmeiras,away, 45 ,Substitution, Gabriel Menino , Gustavo Scarpa 
43,3,Palmeiras,away, 49 ,Yellow card, Endrick ,
44,3,Palmeiras,away, 61 ,Substitution, José López , Endrick 
45,3,Palmeiras,away, 61 ,Substitution, Rafael Navarro , Rony 
46,3,Internacional,home, 70 ,Substitution, Lucas Ramos , Taison 
47,3,Internacional,home, 71 ,Substitution, Pedro Henrique , Maurício 
48,3,Palmeiras,away, 74 ,Substitution, Giovani , Dudu 
49,3,Internacional,home, 78 ,Substitution, Estevão , Matheus Dias 
50,3,Internacional,home, 78 ,Substitution, Braian Romero , Alemão 
51,3,Internacional,home, 80 ,Yellow card, Lucas Ramos ,
52,3,Internacional,home, 85 ,Goal, Braian Romero , Wanderson 
53,3,Palmeiras,away, 88 ,Yellow card, José López ,
54,3,Internacional,home, 89 ,Substitution, Igor Gomes , Fabricio Bustos 
55,4,São Paulo,away, 20 ,Goal, Giuliano Galoppo , Igor Gomes 
56,4,Goiás,home, 40 ,Yellow card, Maguinho ,
57,4,Goiás,home, 45 ,Substitution, Douglas Pelé , Diego 
58,4,Goiás,home, 64 ,Yellow card, Auremir ,
59,4,Goiás,home, 65 ,Substitution, Renato Júnior , Auremir 
60,4,São Paulo,away, 69 ,Substitution, Marcos Guilherme , Giuliano Galoppo 
61,4,São Paulo,away, 69 ,Yellow card, Giuliano Galoppo ,
62,4,São Paulo,away, 69 ,Substitution, Talles Costa , Rodrigo Nestor 
63,4,São Paulo,away, 71 ,Goal, Luciano , Jonathan Calleri 
64,4,Goiás,home, 72 ,Substitution, Danilo Barcelos , Matheus Sales 
65,4,Goiás,home, 73 ,Substitution, Henrique Lordelo , Hugo 
66,4,São Paulo,away, 77 ,Goal, Marcos Guilherme , Talles Costa 
67,4,São Paulo,away, 80 ,Substitution, Nahuel Bustos , Jonathan Calleri 
68,4,São Paulo,away, 80 ,Substitution, Reinaldo , Welington 
69,4,São Paulo,away, 80 ,Substitution, Juan , Luciano 
70,4,Goiás,home, 88 ,Substitution, Nathan , Marquinhos Gabriel 
71,4,São Paulo,away, 91 ,Goal, Juan , Talles Costa 
72,5,Coritiba,away, 11 ,Yellow card, Fabrício Daniel ,
73,5,Coritiba,away, 24 ,Yellow card, Jesús Trindade ,
74,5,Coritiba,away, 28 ,Substitution, Léo Gamalho , Matheus Cadorini 
75,5,Cuiabá,home, 37 ,Goal, Alan Empereur , Marllon 
76,5,Cuiabá,home, 44 ,Goal, Jonathan Cafú ,
77,5,Coritiba,away, 45 ,Substitution, José Hugo , Fabrício Daniel 
78,5,Coritiba,away, 45 ,Substitution, Nathan Mendes , Natanael 
79,5,Coritiba,away, 45 ,Substitution, Robinho , Régis 
80,5,Coritiba,away, 47 ,Yellow card, Alef Manga ,
