match_id,stage,date,team_name_home,team_name_away,team_home_score,team_away_score,possession_home,possession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,duels_won_home,duels_won_away,prediction_team_home_win,prediction_draw,prediction_team_away_win,prediction_quantity,location,lineup_home,lineup_away,player_names_home,player_numbers_home,player_names_away,player_numbers_away
1,Matchday 38,06/11/2022,Cruzeiro,CSA,3,2,0.66,0.34,24,16,9,4,0.56,0.44,0.87,0.02,0.11,16458,Estádio Governador Magalhães Pinto,"[{'player_name': ' Rodrigues do Nascimento ', 'player_number': ' 9'}, {'player_name': ' Nascimento da Silva Júnior ', 'player_number': ' 99'}, {'player_name': ' de Castro Silva ', 'player_number': ' 21'}, {'player_name': ' Robson Cipriano ', 'player_number': ' 39'}, {'player_name': ' Lima Beltrão Oliveira ', 'player_number': ' 6'}, {'player_name': ' da Rosa Machado ', 'player_number': ' 23'}, {'player_name': ' de Jesus Rocha ', 'player_number': ' 42'}, {'player_name': ' Schroeder Brock ', 'player_number': ' 14'}, {'player_name': ' da Cruz Oliveira ', 'player_number': ' 26'}, {'player_name': ' Ivaldo Almeida Silva ', 'player_number': ' 5'}, {'player_name': ' Rafael ', 'player_number': ' 1'}]","[{'player_name': ' Lourenço Filho ', 'player_number': ' 11'}, {'player_name': ' Rodrigues Silva ', 'player_number': ' 99'}, {'player_name': ' Ferreira Lourenço ', 'player_number': ' 97'}, {'player_name': ' Rolim ', 'player_number': ' 8'}, {'player_name': ' Batista de Faria ', 'player_number': ' 5'}, {'player_name': ' Santana Pinto ', 'player_number': ' 27'}, {'player_name': ' de Lima Ferreira ', 'player_number': ' 26'}, {'player_name': ' Cavalcante Silva Afonso ', 'player_number': ' 33'}, {'player_name': ' do Nascimento ', 'player_number': ' 23'}, {'player_name': ' Modesto Silva ', 'player_number': ' 14'}, {'player_name': ' Passos Carné ', 'player_number': ' 31'}]","['Rodrigues do Nascimento', 'Nascimento da Silva Júnior', 'de Castro Silva', 'Robson Cipriano', 'Lima Beltrão Oliveira', 'da Rosa Machado', 'de Jesus Rocha', 'Schroeder Brock', 'da Cruz Oliveira', 'Ivaldo Almeida Silva', 'Rafael']","['9', '99', '21', '39', '6', '23', '42', '14', '26', '5', '1']","['Lourenço Filho', 'Rodrigues Silva', 'Ferreira Lourenço', 'Rolim', 'Batista de Faria', 'Santana Pinto', 'de Lima Ferreira', 'Cavalcante Silva Afonso', 'do Nascimento', 'Modesto Silva', 'Passos Carné']","['11', '99', '97', '8', '5', '27', '26', '33', '23', '14', '31']"
2,Matchday 38,06/11/2022,Operário,Novorizontino,0,3,0.6,0.4,7,8,3,4,0.49,0.52,0.33,0.08,0.59,3534,Estádio Germano Krüger,"[{'player_name': ' Kalil Abdala ', 'player_number': ' 9'}, {'player_name': ' Saraiva de Souza Silva ', 'player_number': ' 11'}, {'player_name': ' Reina ', 'player_number': ' 10'}, {'player_name': ' Ferreira de Jesus ', 'player_number': ' 7'}, {'player_name': ' Ribeiro de Lima ', 'player_number': ' 8'}, {'player_name': ' Vital da Silva ', 'player_number': ' 5'}, {'player_name': ' Baldini Massola ', 'player_number': ' 6'}, {'player_name': ' Dirceu ', 'player_number': ' 4'}, {'player_name': ' Alcino ', 'player_number': ' 3'}, {'player_name': ' Pereira Mendes ', 'player_number': ' 2'}, {'player_name': ' Ferreira da Silva ', 'player_number': ' 1'}]","[{'player_name': ' Torres ', 'player_number': ' 10'}, {'player_name': ' Silva ', 'player_number': ' 9'}, {'player_name': ' de Oliveira Sertanejo ', 'player_number': ' 8'}, {'player_name': ' Baggio de Oliveira Costa ', 'player_number': ' 7'}, {'player_name': ' Santiago ', 'player_number': ' 5'}, {'player_name': ' Costa da Silva Machado ', 'player_number': ' 11'}, {'player_name': ' Elias ', 'player_number': ' 6'}, {'player_name': ' Moreira Malaquias ', 'player_number': ' 4'}, {'player_name': ' de Mota de Amorim ', 'player_number': ' 3'}, {'player_name': ' Willemen ', 'player_number': ' 2'}, {'player_name': ' Pereira Ribeiro de Souza ', 'player_number': ' 1'}]","['Kalil Abdala', 'Saraiva de Souza Silva', 'Reina', 'Ferreira de Jesus', 'Ribeiro de Lima', 'Vital da Silva', 'Baldini Massola', 'Dirceu', 'Alcino', 'Pereira Mendes', 'Ferreira da Silva']","['9', '11', '10', '7', '8', '5', '6', '4', '3', '2', '1']","['Torres', 'Silva', 'de Oliveira Sertanejo', 'Baggio de Oliveira Costa', 'Santiago', 'Costa da Silva Machado', 'Elias', 'Moreira Malaquias', 'de Mota de Amorim', 'Willemen', 'Pereira Ribeiro de Souza']","['10', '9', '8', '7', '5', '11', '6', '4', '3', '2', '1']"
3,Matchday 38,06/11/2022,Ituano,Vasco,0,1,0.64,0.36,22,11,6,6,0.48,0.52,0.42,0.04,0.54,53955,Estádio Municipal Dr. Novelli Júnior,"[{'player_name': ' de Sousa Barros ', 'player_number': ' 11'}, {'player_name': ' Tavella ', 'player_number': ' 9'}, {'player_name': ' Veríssimo Do Nascimento ', 'player_number': ' 7'}, {'player_name': ' Santos Siqueira ', 'player_number': ' 10'}, {'player_name': ' Pereira dos Santos ', 'player_number': ' 5'}, {'player_name': ' de Jesus Gonçalves ', 'player_number': ' 8'}, {'player_name': ' Heuchayer Santos de Araújo ', 'player_number': ' 6'}, {'player_name': ' Schappo ', 'player_number': ' 4'}, {'player_name': ' Dias Costa ', 'player_number': ' 3'}, {'player_name': ' Ramos ', 'player_number': ' 2'}, {'player_name': ' da Silva Paulino ', 'player_number': ' 12'}]","[{'player_name': ' Fortes Chaves ', 'player_number': ' 11'}, {'player_name': ' Santana de Vasconcelos ', 'player_number': ' 9'}, {'player_name': ' Figueiredo dos Santos ', 'player_number': ' 15'}, {'player_name': ' Nascimento dos Santos ', 'player_number': ' 8'}, {'player_name': ' Nene ', 'player_number': ' 10'}, {'player_name': ' Lima Lara ', 'player_number': ' 5'}, {'player_name': ' Araujo Silva ', 'player_number': ' 88'}, {'player_name': ' Conceição Benedito ', 'player_number': ' 4'}, {'player_name': ' Boza Junior ', 'player_number': ' 26'}, {'player_name': ' de Matos Cruz ', 'player_number': ' 3'}, {'player_name': ' Rodrigues de Oliveira Nogueira ', 'player_number': ' 1'}]","['de Sousa Barros', 'Tavella', 'Veríssimo Do Nascimento', 'Santos Siqueira', 'Pereira dos Santos', 'de Jesus Gonçalves', 'Heuchayer Santos de Araújo', 'Schappo', 'Dias Costa', 'Ramos', 'da Silva Paulino']","['11', '9', '7', '10', '5', '8', '6', '4', '3', '2', '12']","['Fortes Chaves', 'Santana de Vasconcelos', 'Figueiredo dos Santos', 'Nascimento dos Santos', 'Nene', 'Lima Lara', 'Araujo Silva', 'Conceição Benedito', 'Boza Junior', 'de Matos Cruz', 'Rodrigues de Oliveira Nogueira']","['11', '9', '15', '8', '10', '5', '88', '4', '26', '3', '1']"
4,Matchday 38,06/11/2022,Vila Nova,Sport,0,0,0.46,0.54,15,8,3,0,0.55,0.45,0.18,0.05,0.77,6139,Estádio Onésio Brasileiro Alvarenga,"[{'player_name': ' de Souza de Carvalho ', 'player_number': ' 23'}, {'player_name': ' Dias da Silva ', 'player_number': ' 19'}, {'player_name': ' Barbosa Tavares ', 'player_number': ' 21'}, {'player_name': ' Ferreira dos Santos ', 'player_number': ' 17'}, {'player_name': ' Sousa e Silva ', 'player_number': ' 15'}, {'player_name': ' Martim Candido ', 'player_number': ' 20'}, {'player_name': ' Prado Camargo ', 'player_number': ' 13'}, {'player_name': ' da Silva Cordeiro ', 'player_number': ' 14'}, {'player_name': ' Domachowski ', 'player_number': ' 5'}, {'player_name': ' da Silva ', 'player_number': ' 2'}, {'player_name': ' Gonçalves ', 'player_number': ' 1'}]","[{'player_name': ' Coutinho Silva Lopes ', 'player_number': ' 91'}, {'player_name': ' Silva da Souza ', 'player_number': ' 99'}, {'player_name': ' Labandeira ', 'player_number': ' 30'}, {'player_name': ' da Silva Junior ', 'player_number': ' 46'}, {'player_name': ' Ferreira da Silva ', 'player_number': ' 5'}, {'player_name': ' Gonçalves ', 'player_number': ' 7'}, {'player_name': ' Bortolotto ', 'player_number': ' 56'}, {'player_name': ' Chagas Monteiro ', 'player_number': ' 35'}, {'player_name': ' De Albuquerque ', 'player_number': ' 15'}, {'player_name': ' Santos Oliveira ', 'player_number': ' 26'}, {'player_name': ' Ferreira Silva ', 'player_number': ' 95'}]","['de Souza de Carvalho', 'Dias da Silva', 'Barbosa Tavares', 'Ferreira dos Santos', 'Sousa e Silva', 'Martim Candido', 'Prado Camargo', 'da Silva Cordeiro', 'Domachowski', 'da Silva', 'Gonçalves']","['23', '19', '21', '17', '15', '20', '13', '14', '5', '2', '1']","['Coutinho Silva Lopes', 'Silva da Souza', 'Labandeira', 'da Silva Junior', 'Ferreira da Silva', 'Gonçalves', 'Bortolotto', 'Chagas Monteiro', 'De Albuquerque', 'Santos Oliveira', 'Ferreira Silva']","['91', '99', '30', '46', '5', '7', '56', '35', '15', '26', '95']"
5,Matchday 38,06/11/2022,CRB,Bahia,1,2,0.47,0.53,6,16,2,5,0.51,0.49,0.21,0.05,0.74,8456,Estádio Rei Pelé,"[{'player_name': ' Bezerra Oliveira ', 'player_number': ' 24'}, {'player_name': ' Alves Herculano ', 'player_number': ' 9'}, {'player_name': ' Luciano da Silva ', 'player_number': ' 11'}, {'player_name': ' Valoura Júnior ', 'player_number': ' 16'}, {'player_name': ' Medeiros dos Santos ', 'player_number': ' 20'}, {'player_name': ' Severino dos Santos ', 'player_number': ' 5'}, {'player_name': ' Romão ', 'player_number': ' 6'}, {'player_name': ' Carvalho dos Santos ', 'player_number': ' 15'}, {'player_name': ' Guimarães Alves ', 'player_number': ' 3'}, {'player_name': ' Lopes de Jesus ', 'player_number': ' 2'}, {'player_name': ' Caetano Ferreira ', 'player_number': ' 1'}]","[{'player_name': ' Goulart Pereira ', 'player_number': ' 16'}, {'player_name': ' Silva Costa ', 'player_number': ' 29'}, {'player_name': ' Sampaio Simões ', 'player_number': ' 10'}, {'player_name': ' Vidal Rocha ', 'player_number': ' 20'}, {'player_name': ' Mugni ', 'player_number': ' 19'}, {'player_name': ' Verhon Pertel Pereira ', 'player_number': ' 45'}, {'player_name': ' dos Santos Júnior ', 'player_number': ' 6'}, {'player_name': ' da Silva Santos ', 'player_number': ' 3'}, {'player_name': ' da Silva Oliveira ', 'player_number': ' 4'}, {'player_name': ' Queiroz Santiago da Silva ', 'player_number': ' 13'}, {'player_name': ' Claus ', 'player_number': ' 77'}]","['Bezerra Oliveira', 'Alves Herculano', 'Luciano da Silva', 'Valoura Júnior', 'Medeiros dos Santos', 'Severino dos Santos', 'Romão', 'Carvalho dos Santos', 'Guimarães Alves', 'Lopes de Jesus', 'Caetano Ferreira']","['24', '9', '11', '16', '20', '5', '6', '15', '3', '2', '1']","['Goulart Pereira', 'Silva Costa', 'Sampaio Simões', 'Vidal Rocha', 'Mugni', 'Verhon Pertel Pereira', 'dos Santos Júnior', 'da Silva Santos', 'da Silva Oliveira', 'Queiroz Santiago da Silva', 'Claus']","['16', '29', '10', '20', '19', '45', '6', '3', '4', '13', '77']"
6,Matchday 38,06/11/2022,Guarani,Chapecoense,1,0,0.51,0.49,10,10,3,1,0.46,0.54,0.49,0.08,0.43,3315,Estádio Brinco de Ouro da Princesa,"[{'player_name': ' de Jesus Brito e Brito ', 'player_number': ' 91'}, {'player_name': ' de Souza ', 'player_number': ' 17'}, {'player_name': ' Brito ', 'player_number': ' 21'}, {'player_name': ' da Silva ', 'player_number': ' 97'}, {'player_name': ' Sales Teixeira ', 'player_number': ' 31'}, {'player_name': ' Ríos ', 'player_number': ' 18'}, {'player_name': ' da Silva Ferreira ', 'player_number': ' 56'}, {'player_name': ' Luiz Alves ', 'player_number': ' 22'}, {'player_name': ' Alvariño ', 'player_number': ' 5'}, {'player_name': ' de Almeida Rodrigues Maciel ', 'player_number': ' 13'}, {'player_name': ' Lopes da Silva ', 'player_number': ' 58'}]","[{'player_name': ' Perotti ', 'player_number': ' 9'}, {'player_name': ' Alves Farias ', 'player_number': ' 10'}, {'player_name': ' Bedinelli Jaguaribe ', 'player_number': ' 30'}, {'player_name': ' Amaral Barletta de Almeida ', 'player_number': ' 7'}, {'player_name': ' Pereira Mendes ', 'player_number': ' 37'}, {'player_name': ' Freitas ', 'player_number': ' 8'}, {'player_name': ' Pereira Bueno Júnior ', 'player_number': ' 6'}, {'player_name': ' de Morais dos Santos ', 'player_number': ' 23'}, {'player_name': ' Frazan Bernardo ', 'player_number': ' 27'}, {'player_name': ' Gebing ', 'player_number': ' 15'}, {'player_name': ' Rodrigues dos Santos ', 'player_number': ' 85'}]","['de Jesus Brito e Brito', 'de Souza', 'Brito', 'da Silva', 'Sales Teixeira', 'Ríos', 'da Silva Ferreira', 'Luiz Alves', 'Alvariño', 'de Almeida Rodrigues Maciel', 'Lopes da Silva']","['91', '17', '21', '97', '31', '18', '56', '22', '5', '13', '58']","['Perotti', 'Alves Farias', 'Bedinelli Jaguaribe', 'Amaral Barletta de Almeida', 'Pereira Mendes', 'Freitas', 'Pereira Bueno Júnior', 'de Morais dos Santos', 'Frazan Bernardo', 'Gebing', 'Rodrigues dos Santos']","['9', '10', '30', '7', '37', '8', '6', '23', '27', '15', '85']"
7,Matchday 38,05/11/2022,Sampaio Corrêa,Londrina,2,1,0.44,0.56,20,18,9,11,0.39,0.61,0.62,0.07,0.31,3053,Estádio Governador João Castelo,"[{'player_name': ' Buscariol Poveda ', 'player_number': ' 9'}, {'player_name': ' de Oliveira Ferreira ', 'player_number': ' 7'}, {'player_name': ' Silva Moreira ', 'player_number': ' 15'}, {'player_name': ' de Moraes Rodrigues ', 'player_number': ' 11'}, {'player_name': ' Araújo de Oliveira ', 'player_number': ' 8'}, {'player_name': ' Guimarães Siqueira Junior ', 'player_number': ' 5'}, {'player_name': ' Santos Rabelo ', 'player_number': ' 6'}, {'player_name': ' Barbosa dos Santos ', 'player_number': ' 13'}, {'player_name': ' Godói Santos ', 'player_number': ' 4'}, {'player_name': ' da Silva Duarte ', 'player_number': ' 2'}, {'player_name': ' de Carvalho Silva ', 'player_number': ' 1'}]","[{'player_name': ' Jacintho Ferreira ', 'player_number': ' 9'}, {'player_name': ' de Souza Lima ', 'player_number': ' 7'}, {'player_name': ' da Silva Nunes ', 'player_number': ' 10'}, {'player_name': ' Caprini Pinto ', 'player_number': ' 11'}, {'player_name': ' Cacho Alves da Silva ', 'player_number': ' 8'}, {'player_name': ' Santos de Souza ', 'player_number': ' 5'}, {'player_name': ' Vieira Augusto ', 'player_number': ' 6'}, {'player_name': ' Vilar dos Santos ', 'player_number': ' 3'}, {'player_name': ' Knesowitsch ', 'player_number': ' 4'}, {'player_name': ' dos Santos Eleoterio ', 'player_number': ' 2'}, {'player_name': ' Albino Carneiro ', 'player_number': ' 12'}]","['Buscariol Poveda', 'de Oliveira Ferreira', 'Silva Moreira', 'de Moraes Rodrigues', 'Araújo de Oliveira', 'Guimarães Siqueira Junior', 'Santos Rabelo', 'Barbosa dos Santos', 'Godói Santos', 'da Silva Duarte', 'de Carvalho Silva']","['9', '7', '15', '11', '8', '5', '6', '13', '4', '2', '1']","['Jacintho Ferreira', 'de Souza Lima', 'da Silva Nunes', 'Caprini Pinto', 'Cacho Alves da Silva', 'Santos de Souza', 'Vieira Augusto', 'Vilar dos Santos', 'Knesowitsch', 'dos Santos Eleoterio', 'Albino Carneiro']","['9', '7', '10', '11', '8', '5', '6', '3', '4', '2', '12']"
8,Matchday 38,05/11/2022,Criciúma,Tombense,2,0,0.47,0.53,21,7,6,0,0.44,0.57,0.76,0.07,0.17,2375,Estádio Heriberto Hülse,"[{'player_name': ' Melo Oliveira ', 'player_number': ' 10'}, {'player_name': ' dos Santos Freire ', 'player_number': ' 9'}, {'player_name': ' Garcia Silva ', 'player_number': ' 11'}, {'player_name': ' de Sena Araujo ', 'player_number': ' 7'}, {'player_name': ' Serrato ', 'player_number': ' 5'}, {'player_name': ' da Silva Machado ', 'player_number': ' 8'}, {'player_name': ' Silva Santos ', 'player_number': ' 6'}, {'player_name': ' Alves Luis ', 'player_number': ' 4'}, {'player_name': ' Fagundes de Freitas ', 'player_number': ' 3'}, {'player_name': ' Coelho Salvático ', 'player_number': ' 2'}, {'player_name': ' Almeida Pinto ', 'player_number': ' 1'}]","[{'player_name': ' de Souza Junior ', 'player_number': ' 7'}, {'player_name': ' Galdino Moreira ', 'player_number': ' 9'}, {'player_name': ' Pego Duarte ', 'player_number': ' 11'}, {'player_name': ' Araújo Fernandes ', 'player_number': ' 18'}, {'player_name': ' Figueiredo ', 'player_number': ' 10'}, {'player_name': ' Vasconcelos Oliveira ', 'player_number': ' 15'}, {'player_name': ' Ferreira Lima Neto ', 'player_number': ' 6'}, {'player_name': ' de Carvalho ', 'player_number': ' 14'}, {'player_name': ' de Oliveira Figueiredo ', 'player_number': ' 3'}, {'player_name': ' dos Santos ', 'player_number': ' 2'}, {'player_name': ' Garcia dos Prazeres ', 'player_number': ' 1'}]","['Melo Oliveira', 'dos Santos Freire', 'Garcia Silva', 'de Sena Araujo', 'Serrato', 'da Silva Machado', 'Silva Santos', 'Alves Luis', 'Fagundes de Freitas', 'Coelho Salvático', 'Almeida Pinto']","['10', '9', '11', '7', '5', '8', '6', '4', '3', '2', '1']","['de Souza Junior', 'Galdino Moreira', 'Pego Duarte', 'Araújo Fernandes', 'Figueiredo', 'Vasconcelos Oliveira', 'Ferreira Lima Neto', 'de Carvalho', 'de Oliveira Figueiredo', 'dos Santos', 'Garcia dos Prazeres']","['7', '9', '11', '18', '10', '15', '6', '14', '3', '2', '1']"
9,Matchday 38,04/11/2022,Náutico,Ponte Preta,0,1,0.53,0.47,6,14,1,4,0.53,0.48,0.29,0.09,0.62,4349,Estádio Eládio de Barros Carvalho,"[{'player_name': ' Rodrigues de Albuquerque ', 'player_number': ' 9'}, {'player_name': ' Souza Ferreira ', 'player_number': ' 17'}, {'player_name': ' de Sousa Queiroga ', 'player_number': ' 10'}, {'player_name': ' Souza Santos ', 'player_number': ' 7'}, {'player_name': ' Candido de Souza ', 'player_number': ' 5'}, {'player_name': ' Machado Dias ', 'player_number': ' 15'}, {'player_name': ' Ferreira da Silva ', 'player_number': ' 11'}, {'player_name': ' Silveira dos Santos ', 'player_number': ' 13'}, {'player_name': ' Dourado Santiago ', 'player_number': ' 2'}, {'player_name': ' Marques Melo da Silva Almeida ', 'player_number': ' 6'}, {'player_name': ' Nascimento Lopes ', 'player_number': ' 1'}]","[{'player_name': ' Pereira Silva ', 'player_number': ' 17'}, {'player_name': ' Nascimento Brito ', 'player_number': ' 20'}, {'player_name': ' Amaral ', 'player_number': ' 19'}, {'player_name': ' Vilela Ferreira ', 'player_number': ' 23'}, {'player_name': ' Alvez Máximo ', 'player_number': ' 25'}, {'player_name': ' Naldi de Matos ', 'player_number': ' 5'}, {'player_name': ' Dos Santos ', 'player_number': ' 26'}, {'player_name': ' Rodrigues dos Santos ', 'player_number': ' 14'}, {'player_name': ' Ferreira da Silva ', 'player_number': ' 4'}, {'player_name': ' Marques Paciencia Cardoso ', 'player_number': ' 22'}, {'player_name': ' Rocha da Silva ', 'player_number': ' 1'}]","['Rodrigues de Albuquerque', 'Souza Ferreira', 'de Sousa Queiroga', 'Souza Santos', 'Candido de Souza', 'Machado Dias', 'Ferreira da Silva', 'Silveira dos Santos', 'Dourado Santiago', 'Marques Melo da Silva Almeida', 'Nascimento Lopes']","['9', '17', '10', '7', '5', '15', '11', '13', '2', '6', '1']","['Pereira Silva', 'Nascimento Brito', 'Amaral', 'Vilela Ferreira', 'Alvez Máximo', 'Naldi de Matos', 'Dos Santos', 'Rodrigues dos Santos', 'Ferreira da Silva', 'Marques Paciencia Cardoso', 'Rocha da Silva']","['17', '20', '19', '23', '25', '5', '26', '14', '4', '22', '1']"
10,Matchday 38,03/11/2022,Grêmio,Brusque,3,0,0.6,0.4,23,7,9,4,0.55,0.45,0.9,0.03,0.07,15104,Arena do Grêmio,"[{'player_name': ' Silva Azevedo Figueredo ', 'player_number': ' 59'}, {'player_name': ' Vieira dos Santos ', 'player_number': ' 11'}, {'player_name': ' de Souza Mares ', 'player_number': ' 39'}, {'player_name': ' Campaz ', 'player_number': ' 7'}, {'player_name': ' Leiva ', 'player_number': ' 15'}, {'player_name': ' Villasanti ', 'player_number': ' 27'}, {'player_name': ' Barbosa ', 'player_number': ' 6'}, {'player_name': ' Kannemann ', 'player_number': ' 4'}, {'player_name': ' Alves ', 'player_number': ' 34'}, {'player_name': ' Gomes da Conceição Silva ', 'player_number': ' 2'}, {'player_name': ' Vasconcelos Ramos ', 'player_number': ' 31'}]","[{'player_name': ' Marques Maciel ', 'player_number': ' 11'}, {'player_name': ' Carvalho dos Santos ', 'player_number': ' 99'}, {'player_name': ' Nascimento da Silva ', 'player_number': ' 19'}, {'player_name': ' Pereira Marques ', 'player_number': ' 26'}, {'player_name': ' da Silva ', 'player_number': ' 5'}, {'player_name': ' de Souza Soares ', 'player_number': ' 88'}, {'player_name': ' Vasconcelos Ferreira ', 'player_number': ' 66'}, {'player_name': ' Silva de Souza ', 'player_number': ' 33'}, {'player_name': ' Barboza Rodrigues ', 'player_number': ' 16'}, {'player_name': ' Ricci Lopes ', 'player_number': ' 21'}, {'player_name': ' Esteves da Costa Daniel ', 'player_number': ' 12'}]","['Silva Azevedo Figueredo', 'Vieira dos Santos', 'de Souza Mares', 'Campaz', 'Leiva', 'Villasanti', 'Barbosa', 'Kannemann', 'Alves', 'Gomes da Conceição Silva', 'Vasconcelos Ramos']","['59', '11', '39', '7', '15', '27', '6', '4', '34', '2', '31']","['Marques Maciel', 'Carvalho dos Santos', 'Nascimento da Silva', 'Pereira Marques', 'da Silva', 'de Souza Soares', 'Vasconcelos Ferreira', 'Silva de Souza', 'Barboza Rodrigues', 'Ricci Lopes', 'Esteves da Costa Daniel']","['11', '99', '19', '26', '5', '88', '66', '33', '16', '21', '12']"
