event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
1,1,CSA,away, 22 ,Goal, Lourenço , Yann Rolim 
2,1,Cruzeiro,home, 40 ,Goal, Geovane Jesus , Filipe Machado 
3,1,Cruzeiro,home, 46 ,Substitution, Jajá , Marquinhos Cipriano 
4,1,Cruzeiro,home, 49 ,Yellow card, Lucas Oliveira ,
5,1,CSA,away, 65 ,Substitution, Lucas Barcelos , Osvaldo 
6,1,Cruzeiro,home, 65 ,Substitution, Willian Oliveira , Pedro Castro 
7,1,CSA,away, 66 ,Substitution, Lucas Lourenço , Lourenço 
8,1,CSA,away, 69 ,Yellow card, Yann Rolim ,
9,1,Cruzeiro,home, 72 ,Yellow card, Geovane Jesus ,
10,1,Cruzeiro,home, 74 ,Substitution, Leonardo Pais , Geovane Jesus 
11,1,Cruzeiro,home, 74 ,Substitution, Luvannor Henrique , Bruno Rodrigues 
12,1,CSA,away, 76 ,Substitution, Lucas Marques , Éverton Silva 
13,1,CSA,away, 81 ,Goal, Lucas Barcelos , Gabriel 
14,1,Cruzeiro,home, 82 ,Substitution, Romulo , Filipe Machado 
15,1,CSA,away, 84 ,Substitution, Gabriel Tonini , Yann Rolim 
16,1,CSA,away, 85 ,Substitution, Ferreira , Gabriel 
17,1,CSA,away, 87 ,Yellow card, Gabriel Tonini ,
18,1,CSA,away, 89 ,Yellow card, Geovane ,
19,1,Cruzeiro,home, 89 ,Goal, Romulo , Edu 
20,1,Cruzeiro,home, 90 ,Yellow card, Romulo ,
21,1,Cruzeiro,home, 91 ,Goal, Luvannor Henrique , Leonardo Pais 
22,1,Cruzeiro,home, 92 ,Yellow card, Luvannor Henrique ,
23,2,Novorizontino,away, 19 ,Goal, Jhony Douglas , Danielzinho 
24,2,Novorizontino,away, 32 ,Yellow card, Douglas Baggio ,
25,2,Novorizontino,away, 47 ,Penalty, Ronaldo , Penalty 
26,2,Operário,home, 46 ,Substitution, Alemão , Leonardo Kalil 
27,2,Operário,home, 58 ,Substitution, Arthur , Rafinha 
28,2,Operário,home, 64 ,Yellow card, Felipe Saraiva ,
29,2,Novorizontino,away, 66 ,Goal, Paulinho , Diego Torres 
30,2,Novorizontino,away, 67 ,Substitution, Romulo , Douglas Baggio 
31,2,Novorizontino,away, 67 ,Substitution, Ramón Martínez , Diego Torres 
32,2,Novorizontino,away, 75 ,Substitution, Léo Baiano , Jhony Douglas 
33,2,Operário,home, 81 ,Substitution, Ruan Carvalho , Felipe Saraiva 
34,2,Operário,home, 81 ,Substitution, Marcos Vinícius , Ricardinho 
35,2,Novorizontino,away, 88 ,Substitution, Bruno Silva , Ronaldo 
36,2,Novorizontino,away, 88 ,Substitution, Hélio Borges , Danielzinho 
37,2,Operário,home, 88 ,Substitution, Pedro Pio , Lucas Vital 
38,3,Ituano,home, 3 ,Red card, Lucas Dias ,
39,3,Vasco,away, 6 ,Penalty, Nene , Penalty 
40,3,Vasco,away, 33 ,Yellow card, Andrey Santos ,
41,3,Vasco,away, 39 ,Yellow card, Alex Teixeira ,
42,3,Vasco,away, 41 ,Yellow card, Raniel ,
43,3,Ituano,home, 46 ,Substitution, Brenner , Léo Ceará 
44,3,Vasco,away, 57 ,Red card, Andrey Santos ,
45,3,Ituano,home, 60 ,Substitution, Mário Sérgio , Roberto 
46,3,Vasco,away, 60 ,Substitution, Zé Gabriel , Luiz Henrique 
47,3,Vasco,away, 60 ,Substitution, Zé Vitor , Nene 
48,3,Vasco,away, 61 ,Substitution, Fábio Gomes , Raniel 
49,3,Ituano,home, 68 ,Substitution, Kaio Mendes , Caique Gonçalves 
50,3,Ituano,home, 68 ,Substitution, Vinícius Jaú , Aylon 
51,3,Vasco,away, 73 ,Yellow card, Gabriel Pec ,
52,3,Vasco,away, 74 ,Substitution, Marlon Gomes , Gabriel Pec 
53,3,Ituano,home, 75 ,Substitution, Gerson Magrão , Bernardo Schappo 
54,3,Vasco,away, 86 ,Substitution, Erick , Yuri Lara 
55,4,Sport,away, 21 ,Yellow card, Luciano Juba ,
56,4,Sport,away, 22 ,Yellow card, Ray Vanegas ,
57,4,Vila Nova,home, 23 ,Yellow card, Willian Formiga ,
58,4,Vila Nova,home, 41 ,Substitution, Railan , Alex Silva 
59,4,Vila Nova,home, 46 ,Substitution, Jefferson , Willian Formiga 
60,4,Sport,away, 60 ,Red card, Fabinho ,
61,4,Sport,away, 62 ,Substitution, Denner , Gustavo Coutinho 
62,4,Vila Nova,home, 64 ,Substitution, Kaio Nunes , Matheus Souza 
63,4,Sport,away, 73 ,Substitution, Ezequiel , Eduardo 
64,4,Sport,away, 73 ,Substitution, Wanderson , Luciano Juba 
65,4,Vila Nova,home, 73 ,Substitution, Marlone , Jean Martim 
66,4,Vila Nova,home, 73 ,Substitution, Dentinho , Diego Tavares 
67,4,Sport,away, 77 ,Yellow card, Denner ,
68,4,Sport,away, 81 ,Red card, Ronaldo ,
69,4,Sport,away, 81 ,Yellow card, Rafael Thyere ,
70,4,Sport,away, 82 ,Second yellow card, Denner ,
71,4,Sport,away, 82 ,Red card, Gustavo Coutinho ,
72,4,Sport,away, 85 ,Substitution, Chico , Facundo Labandeira 
73,4,Sport,away, 85 ,Substitution, Willian Oliveira , Vágner Love 
74,4,Sport,away, 88 ,Red card, Vágner Love ,
75,4,Sport,away, 89 ,Second yellow card, Luciano Juba ,
76,5,CRB,home, 5 ,Substitution, Diego Ivo , Wellington Carvalho 
77,5,Bahia,away, 26 ,Goal, Daniel ,
78,5,CRB,home, 30 ,Yellow card, Yago Henrique ,
79,5,Bahia,away, 45 ,Yellow card, Ignacio ,
80,5,CRB,home, 46 ,Substitution, Rafael Longuine , David Brall 
81,5,CRB,home, 51 ,Goal, Emerson Negueba , Rafael Longuine 
82,5,CRB,home, 63 ,Red card, Diego Ivo ,
83,5,CRB,home, 66 ,Substitution, Uillian Correia , Fabinho 
84,5,CRB,home, 72 ,Yellow card, Emerson Negueba ,
85,5,CRB,home, 77 ,Red card, Anselmo Ramon ,
86,5,Bahia,away, 80 ,Penalty, Lucas Mugni , Penalty 
87,5,Bahia,away, 83 ,Yellow card, Patrick Verhon ,
88,5,Bahia,away, 85 ,Substitution, Matheus Davó , Ricardo Goulart 
89,5,Bahia,away, 85 ,Substitution, Gabriel Xavier , André Dhominique 
90,5,Bahia,away, 88 ,Substitution, Rezende , Daniel 
91,5,CRB,home, 89 ,Substitution, Gabriel Conceição , Emerson Negueba 
92,5,Bahia,away, 89 ,Yellow card, Matheus Davó ,
93,5,Bahia,away, 91 ,Substitution, Jonathan Copete , Vitor Jacaré 
94,5,Bahia,away, 91 ,Substitution, Hugo Rodallega , Caio Vidal 
95,6,Chapecoense,away, 37 ,Yellow card, Ronei ,
96,6,Guarani,home, 46 ,Substitution, Yuri , Yago César 
97,6,Guarani,home, 46 ,Substitution, Eduardo Person , Leandro Vilela 
98,6,Chapecoense,away, 60 ,Substitution, Kevin , Darlan 
99,6,Chapecoense,away, 61 ,Substitution, Matheus Bianqui , Ronei 
100,6,Guarani,home, 66 ,Substitution, Edson , Isaque 
101,6,Guarani,home, 66 ,Substitution, Rafael Freitas , Bruno José 
102,6,Guarani,home, 68 ,Yellow card, Richard Rios ,
103,6,Guarani,home, 75 ,Substitution, Jamerson , Mayk 
104,6,Chapecoense,away, 75 ,Substitution, Caio , Alisson Farias 
105,6,Chapecoense,away, 85 ,Yellow card, Matheus Bianqui ,
106,6,Guarani,home, 86 ,Goal, Edson , Diogo Mateus 
107,6,Chapecoense,away, 87 ,Substitution, Claudinho , Thomas 
108,6,Chapecoense,away, 87 ,Substitution, Luizinho , Chrystian Barletta 
109,6,Chapecoense,away, 90 ,Yellow card, Kevin ,
110,6,Chapecoense,away, 90 ,Yellow card, Marcelo Freitas ,
111,6,Chapecoense,away, 96 ,Second yellow card, Kevin ,
112,7,Londrina,away, 43 ,Goal, Matheus Lucas , Mossoró 
113,7,Sampaio Corrêa,home, 46 ,Substitution, Léo Tocantins , Pimentinha 
114,7,Sampaio Corrêa,home, 46 ,Substitution, Warley , André Luiz 
115,7,Londrina,away, 46 ,Substitution, Cirilo , Matheus Lucas 
116,7,Sampaio Corrêa,home, 47 ,Goal, Ygor Catatau , Warley 
117,7,Sampaio Corrêa,home, 52 ,Goal, Ygor Catatau , Pará 
118,7,Londrina,away, 62 ,Substitution, Victor Daniel , Peu 
119,7,Londrina,away, 62 ,Substitution, Victor Hugo , Pedro Cacho 
120,7,Londrina,away, 65 ,Yellow card, Emerson Souza ,
121,7,Sampaio Corrêa,home, 66 ,Substitution, Mauricio , Ygor Catatau 
122,7,Londrina,away, 77 ,Substitution, Nádson , Mossoró 
123,7,Sampaio Corrêa,home, 78 ,Substitution, Wesley Dias , Lucas Araújo 
124,7,Londrina,away, 83 ,Substitution, Mirandinha , Caprini 
125,7,Sampaio Corrêa,home, 83 ,Yellow card, Mauricio ,
126,7,Sampaio Corrêa,home, 87 ,Substitution, Rafael Costa , Gabriel Poveda 
127,7,Sampaio Corrêa,home, 93 ,Yellow card, Léo Tocantins ,
128,8,Criciúma,home, 19 ,Goal, Hygor ,
129,8,Tombense,away, 33 ,Yellow card, Keké ,
130,8,Tombense,away, 46 ,Substitution, Matheus Frizzo , Rodrigo Vasconcelos 
131,8,Tombense,away, 46 ,Substitution, Marcondes , David 
132,8,Criciúma,home, 53 ,Goal, Lohan , Fellipe Mateus 
133,8,Tombense,away, 58 ,Substitution, Bruno Mota , Keké 
134,8,Tombense,away, 64 ,Yellow card, Matheus Frizzo ,
135,8,Criciúma,home, 68 ,Substitution, Cristovam , Claudinho 
136,8,Criciúma,home, 68 ,Substitution, Rafael Bilu , Ítalo Melo 
137,8,Criciúma,home, 68 ,Substitution, Renan Areias , Rômulo 
138,8,Tombense,away, 77 ,Substitution, Allanzinho , Kleiton 
139,8,Tombense,away, 77 ,Substitution, Diego Ferreira , Joseph 
140,8,Criciúma,home, 85 ,Substitution, Oswaldo Henríquez , Zé Marcos 
141,8,Criciúma,home, 85 ,Substitution, Léo Costa , Fellipe Mateus 
142,8,Criciúma,home, 86 ,Yellow card, Cristovam ,
143,9,Ponte Preta,away, 15 ,Yellow card, Player 0 ,
144,9,Ponte Preta,away, 18 ,Yellow card, Igor Formiga ,
145,9,Ponte Preta,away, 18 ,Yellow card, Mateus Silva ,
146,9,Náutico,home, 29 ,Yellow card, Ralph ,
147,9,Náutico,home, 46 ,Substitution, Mateus Cocão , Ralph 
148,9,Náutico,home, 46 ,Substitution, Amarildo , Júlio 
149,9,Náutico,home, 46 ,Substitution, Souza , Lucas Paraíba 
150,9,Ponte Preta,away, 54 ,Substitution, Vitinho , Cássio Gabriel 
151,9,Náutico,home, 57 ,Substitution, Thomaz , Julio Vitor 
152,9,Ponte Preta,away, 72 ,Penalty, Leo Naldi , Penalty 
153,9,Náutico,home, 73 ,Yellow card, Thassio ,
154,9,Ponte Preta,away, 76 ,Substitution, Echaporã , Fessin 
