match_id,stage,date,team_name_home,team_name_away,team_home_score,team_away_score,possession_home,possession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,duels_won_home,duels_won_away,prediction_team_home_win,prediction_draw,prediction_team_away_win,prediction_quantity,location,lineup_home,lineup_away,player_names_home,player_numbers_home,player_names_away,player_numbers_away
1,Matchday 38,13/11/2022,América MG,Atlético GO,1,1,0.6,0.4,36,4,9,3,0.48,0.52,0.6,0.08,0.32,10717,Estádio Raimundo Sampaio (Independência),"[{'player_name': ' Azevedo dos Santos ', 'player_number': ' 11'}, {'player_name': ' Almeida Caixeta Nascentes ', 'player_number': ' 19'}, {'player_name': ' Silva do Nascimento ', 'player_number': ' 37'}, {'player_name': ' Benítez ', 'player_number': ' 28'}, {'player_name': ' dos Anjos Oliveira ', 'player_number': ' 8'}, {'player_name': ' Egea ', 'player_number': ' 30'}, {'player_name': ' Lopes do Nascimento ', 'player_number': ' 6'}, {'player_name': ' Ferreira Graminho ', 'player_number': ' 33'}, {'player_name': ' Conti ', 'player_number': ' 4'}, {'player_name': ' Cáceres ', 'player_number': ' 27'}, {'player_name': ' Cavichioli ', 'player_number': ' 1'}]","[{'player_name': ' Churín ', 'player_number': ' 9'}, {'player_name': ' Cardozo ', 'player_number': ' 7'}, {'player_name': ' Soares da Silva ', 'player_number': ' 10'}, {'player_name': ' Moraes dos Santos ', 'player_number': ' 11'}, {'player_name': ' Rodrigues Freitas ', 'player_number': ' 8'}, {'player_name': ' Ferreira Moraes ', 'player_number': ' 5'}, {'player_name': ' Antonio da Silva ', 'player_number': ' 6'}, {'player_name': ' Santos Pereira ', 'player_number': ' 3'}, {'player_name': ' Gazal ', 'player_number': ' 4'}, {'player_name': ' Marques dos Santos ', 'player_number': ' 2'}, {'player_name': ' dos Santos ', 'player_number': ' 1'}]","['Azevedo dos Santos', 'Almeida Caixeta Nascentes', 'Silva do Nascimento', 'Benítez', 'dos Anjos Oliveira', 'Egea', 'Lopes do Nascimento', 'Ferreira Graminho', 'Conti', 'Cáceres', 'Cavichioli']","['11', '19', '37', '28', '8', '30', '6', '33', '4', '27', '1']","['Churín', 'Cardozo', 'Soares da Silva', 'Moraes dos Santos', 'Rodrigues Freitas', 'Ferreira Moraes', 'Antonio da Silva', 'Santos Pereira', 'Gazal', 'Marques dos Santos', 'dos Santos']","['9', '7', '10', '11', '8', '5', '6', '3', '4', '2', '1']"
2,Matchday 38,13/11/2022,RB Bragantino,Fluminense,0,1,0.41,0.59,13,8,4,4,0.54,0.46,0.18,0.04,0.78,16788,Estádio Nabi Abi Chedid,"[{'player_name': ' Barra Mansa Realino de Souza ', 'player_number': ' 9'}, {'player_name': ' Novaes Fernandes ', 'player_number': ' 35'}, {'player_name': ' Evangelista ', 'player_number': ' 8'}, {'player_name': ' Guimarães ', 'player_number': ' 7'}, {'player_name': ' de Oliveira da Silva ', 'player_number': ' 5'}, {'player_name': ' Lo Gonçalves ', 'player_number': ' 23'}, {'player_name': ' Cândido de Almeida ', 'player_number': ' 36'}, {'player_name': ' Bernardo de Souza ', 'player_number': ' 21'}, {'player_name': ' Lomónaco ', 'player_number': ' 14'}, {'player_name': ' de Lima Silva ', 'player_number': ' 13'}, {'player_name': ' Schwengber ', 'player_number': ' 18'}]","[{'player_name': ' Cano ', 'player_number': ' 14'}, {'player_name': ' Arias ', 'player_number': ' 21'}, {'player_name': ' Silva dos Santos ', 'player_number': ' 37'}, {'player_name': ' da Costa Rocha ', 'player_number': ' 20'}, {'player_name': ' Lima ', 'player_number': ' 38'}, {'player_name': ' da Costa Neto ', 'player_number': ' 7'}, {'player_name': ' Gomes da Costa ', 'player_number': ' 35'}, {'player_name': ' Mota Filho ', 'player_number': ' 33'}, {'player_name': ' Silva Carvalho ', 'player_number': ' 26'}, {'player_name': ' Xavier Brito ', 'player_number': ' 2'}, {'player_name': ' Lopes Maciel ', 'player_number': ' 12'}]","['Barra Mansa Realino de Souza', 'Novaes Fernandes', 'Evangelista', 'Guimarães', 'de Oliveira da Silva', 'Lo Gonçalves', 'Cândido de Almeida', 'Bernardo de Souza', 'Lomónaco', 'de Lima Silva', 'Schwengber']","['9', '35', '8', '7', '5', '23', '36', '21', '14', '13', '18']","['Cano', 'Arias', 'Silva dos Santos', 'da Costa Rocha', 'Lima', 'da Costa Neto', 'Gomes da Costa', 'Mota Filho', 'Silva Carvalho', 'Xavier Brito', 'Lopes Maciel']","['14', '21', '37', '20', '38', '7', '35', '33', '26', '2', '12']"
3,Matchday 38,13/11/2022,Internacional,Palmeiras,3,0,0.48,0.52,15,11,8,2,0.58,0.42,0.29,0.06,0.65,40578,Estadio Beira-Rio,"[{'player_name': ' Zurawski ', 'player_number': ' 35'}, {'player_name': ' Taison ', 'player_number': ' 7'}, {'player_name': ' Magalhães Prado ', 'player_number': ' 27'}, {'player_name': ' Sousa Campos ', 'player_number': ' 11'}, {'player_name': ' de Pena ', 'player_number': ' 14'}, {'player_name': ' dos Santos Dias ', 'player_number': ' 41'}, {'player_name': ' Rodrigues Martins ', 'player_number': ' 6'}, {'player_name': ' Mercado ', 'player_number': ' 25'}, {'player_name': ' da Silva Matos ', 'player_number': ' 44'}, {'player_name': ' Bustos ', 'player_number': ' 16'}, {'player_name': ' da Silva Nunes ', 'player_number': ' 12'}]","[{'player_name': ' Moreira de Sousa ', 'player_number': ' 16'}, {'player_name': ' da Silva Barbosa ', 'player_number': ' 10'}, {'player_name': ' Furtado Scarpa ', 'player_number': ' 14'}, {'player_name': ' Pereira Rodrigues Sotero ', 'player_number': ' 7'}, {'player_name': ' Atuesta ', 'player_number': ' 20'}, {'player_name': ' dos Santos de Oliveira ', 'player_number': ' 28'}, {'player_name': ' Barbosa da Silva ', 'player_number': ' 36'}, {'player_name': ' Murilo ', 'player_number': ' 26'}, {'player_name': ' Garcia Teixeira ', 'player_number': ' 13'}, {'player_name': ' Rocha de Oliveira ', 'player_number': ' 12'}, {'player_name': ' Silvestre da Costa ', 'player_number': ' 1'}]","['Zurawski', 'Taison', 'Magalhães Prado', 'Sousa Campos', 'de Pena', 'dos Santos Dias', 'Rodrigues Martins', 'Mercado', 'da Silva Matos', 'Bustos', 'da Silva Nunes']","['35', '7', '27', '11', '14', '41', '6', '25', '44', '16', '12']","['Moreira de Sousa', 'da Silva Barbosa', 'Furtado Scarpa', 'Pereira Rodrigues Sotero', 'Atuesta', 'dos Santos de Oliveira', 'Barbosa da Silva', 'Murilo', 'Garcia Teixeira', 'Rocha de Oliveira', 'Silvestre da Costa']","['16', '10', '14', '7', '20', '28', '36', '26', '13', '12', '1']"
4,Matchday 38,13/11/2022,Goiás,São Paulo,0,4,0.35,0.65,6,13,2,7,0.62,0.38,0.17,0.05,0.78,28586,Estádio de Hailé Pinheiro,"[{'player_name': ' Godinho Johann ', 'player_number': ' 9'}, {'player_name': ' Santos Silva ', 'player_number': ' 7'}, {'player_name': ' do Nascimento ', 'player_number': ' 10'}, {'player_name': ' Ibraim Fagundes ', 'player_number': ' 20'}, {'player_name': ' Sales de Cabral ', 'player_number': ' 36'}, {'player_name': ' Evangelista dos Santos ', 'player_number': ' 5'}, {'player_name': ' Ferreira de Farias ', 'player_number': ' 66'}, {'player_name': ' Moraes ', 'player_number': ' 29'}, {'player_name': ' Halter ', 'player_number': ' 25'}, {'player_name': ' da Silva ', 'player_number': ' 2'}, {'player_name': ' Ferreira ', 'player_number': ' 23'}]","[{'player_name': ' Calleri ', 'player_number': ' 9'}, {'player_name': ' da Rocha Neves ', 'player_number': ' 11'}, {'player_name': ' Bertalia ', 'player_number': ' 25'}, {'player_name': ' Galoppo ', 'player_number': ' 14'}, {'player_name': ' Silveira Gomes ', 'player_number': ' 26'}, {'player_name': ' Gonçalves Maia Fortunato ', 'player_number': ' 29'}, {'player_name': ' Santos ', 'player_number': ' 34'}, {'player_name': ' Pinheiro da Conceição ', 'player_number': ' 16'}, {'player_name': ' Ferraresi ', 'player_number': ' 44'}, {'player_name': ' Rafinha ', 'player_number': ' 13'}, {'player_name': ' Alves Raymundo ', 'player_number': ' 1'}]","['Godinho Johann', 'Santos Silva', 'do Nascimento', 'Ibraim Fagundes', 'Sales de Cabral', 'Evangelista dos Santos', 'Ferreira de Farias', 'Moraes', 'Halter', 'da Silva', 'Ferreira']","['9', '7', '10', '20', '36', '5', '66', '29', '25', '2', '23']","['Calleri', 'da Rocha Neves', 'Bertalia', 'Galoppo', 'Silveira Gomes', 'Gonçalves Maia Fortunato', 'Santos', 'Pinheiro da Conceição', 'Ferraresi', 'Rafinha', 'Alves Raymundo']","['9', '11', '25', '14', '26', '29', '34', '16', '44', '13', '1']"
5,Matchday 38,13/11/2022,Cuiabá,Coritiba,2,1,0.57,0.43,17,4,8,2,0.51,0.49,0.5,0.1,0.4,9251,Arena Pantanal,"[{'player_name': ' Deyverson ', 'player_number': ' 9'}, {'player_name': ' da Costa Alfredo ', 'player_number': ' 11'}, {'player_name': ' Alves Borges ', 'player_number': ' 10'}, {'player_name': ' Meneghel Gava ', 'player_number': ' 8'}, {'player_name': ' Barbosa ', 'player_number': ' 7'}, {'player_name': ' Reijers de Oliveira ', 'player_number': ' 5'}, {'player_name': ' Aquino da Silva ', 'player_number': ' 6'}, {'player_name': ' Pereira Empereur ', 'player_number': ' 3'}, {'player_name': ' Gonçalves Jerônimo Borges ', 'player_number': ' 4'}, {'player_name': ' Pereira Silva ', 'player_number': ' 2'}, {'player_name': ' Capeloza Artune ', 'player_number': ' 1'}]","[{'player_name': ' Cadorini da Silva ', 'player_number': ' 99'}, {'player_name': ' Mangueira Severino Pereira ', 'player_number': ' 11'}, {'player_name': ' Díaz ', 'player_number': ' 27'}, {'player_name': ' Salmazzo ', 'player_number': ' 78'}, {'player_name': ' de Souza ', 'player_number': ' 13'}, {'player_name': ' Trindade ', 'player_number': ' 50'}, {'player_name': ' Cardoso dos Santos ', 'player_number': ' 36'}, {'player_name': ' Castán da Silva ', 'player_number': ' 4'}, {'player_name': ' Henrique ', 'player_number': ' 3'}, {'player_name': ' Moreira Milouski ', 'player_number': ' 16'}, {'player_name': ' Gabriel ', 'player_number': ' 1'}]","['Deyverson', 'da Costa Alfredo', 'Alves Borges', 'Meneghel Gava', 'Barbosa', 'Reijers de Oliveira', 'Aquino da Silva', 'Pereira Empereur', 'Gonçalves Jerônimo Borges', 'Pereira Silva', 'Capeloza Artune']","['9', '11', '10', '8', '7', '5', '6', '3', '4', '2', '1']","['Cadorini da Silva', 'Mangueira Severino Pereira', 'Díaz', 'Salmazzo', 'de Souza', 'Trindade', 'Cardoso dos Santos', 'Castán da Silva', 'Henrique', 'Moreira Milouski', 'Gabriel']","['99', '11', '27', '78', '13', '50', '36', '4', '3', '16', '1']"
6,Matchday 38,13/11/2022,Corinthians,Atl. Mineiro,0,1,0.59,0.41,17,17,4,7,0.51,0.5,0.8,0.04,0.16,54936,Neo Química Arena,"[{'player_name': ' Monteiro da Silva ', 'player_number': ' 9'}, {'player_name': ' Krug Guedes ', 'player_number': ' 10'}, {'player_name': ' de Andrade Barberan ', 'player_number': ' 5'}, {'player_name': ' Santos Queiroz ', 'player_number': ' 37'}, {'player_name': ' Moschen Benetti ', 'player_number': ' 17'}, {'player_name': ' Vera ', 'player_number': ' 33'}, {'player_name': ' Santos Romeu ', 'player_number': ' 26'}, {'player_name': ' Alves Barbosa ', 'player_number': ' 30'}, {'player_name': ' do Nascimento Silva ', 'player_number': ' 4'}, {'player_name': ' Fagner ', 'player_number': ' 23'}, {'player_name': ' Cassio ', 'player_number': ' 12'}]","[{'player_name': ' Vargas ', 'player_number': ' 10'}, {'player_name': ' da Silva França ', 'player_number': ' 11'}, {'player_name': ' Fernández ', 'player_number': ' 26'}, {'player_name': ' Zaracho ', 'player_number': ' 15'}, {'player_name': ' Rodrigues de Souza ', 'player_number': ' 29'}, {'player_name': ' Rodrigues Júnior ', 'player_number': ' 8'}, {'player_name': ' Dodo ', 'player_number': ' 6'}, {'player_name': ' Alves de Araújo ', 'player_number': ' 4'}, {'player_name': ' de Jesus Nascimento ', 'player_number': ' 34'}, {'player_name': ' Mariano ', 'player_number': ' 25'}, {'player_name': ' Marques Pires ', 'player_number': ' 22'}]","['Monteiro da Silva', 'Krug Guedes', 'de Andrade Barberan', 'Santos Queiroz', 'Moschen Benetti', 'Vera', 'Santos Romeu', 'Alves Barbosa', 'do Nascimento Silva', 'Fagner', 'Cassio']","['9', '10', '5', '37', '17', '33', '26', '30', '4', '23', '12']","['Vargas', 'da Silva França', 'Fernández', 'Zaracho', 'Rodrigues de Souza', 'Rodrigues Júnior', 'Dodo', 'Alves de Araújo', 'de Jesus Nascimento', 'Mariano', 'Marques Pires']","['10', '11', '26', '15', '29', '8', '6', '4', '34', '25', '22']"
7,Matchday 38,13/11/2022,Ceará,Juventude,4,1,0.62,0.38,22,9,9,4,0.48,0.52,0.7,0.11,0.19,9025,Castelão,"[{'player_name': ' Bomfim de Jesus ', 'player_number': ' 89'}, {'player_name': ' dos Santos ', 'player_number': ' 80'}, {'player_name': ' Pereira do Nascimento ', 'player_number': ' 8'}, {'player_name': ' de Arruda Serafim ', 'player_number': ' 11'}, {'player_name': ' da Silva de Souza ', 'player_number': ' 21'}, {'player_name': ' Fernandes dos Santos ', 'player_number': ' 7'}, {'player_name': ' de Jesus Pacheco ', 'player_number': ' 6'}, {'player_name': ' Loiola da Silva ', 'player_number': ' 23'}, {'player_name': ' Ferreira da Silva ', 'player_number': ' 44'}, {'player_name': ' Benicio da Silva ', 'player_number': ' 27'}, {'player_name': ' de Oliveira Costa ', 'player_number': ' 91'}]","[{'player_name': ' Pereira Duarte ', 'player_number': ' 29'}, {'player_name': ' Claudino Rego Ferreira ', 'player_number': ' 63'}, {'player_name': ' de Moraes Rodrigues ', 'player_number': ' 20'}, {'player_name': ' Oliveira Lima ', 'player_number': ' 50'}, {'player_name': ' Ferreira Neris ', 'player_number': ' 88'}, {'player_name': ' Rabelo Costa ', 'player_number': ' 26'}, {'player_name': ' Kempf Schwade ', 'player_number': ' 36'}, {'player_name': ' da Silva ', 'player_number': ' 4'}, {'player_name': ' Mendes Alves ', 'player_number': ' 34'}, {'player_name': ' Alves Soares ', 'player_number': ' 2'}, {'player_name': ' Guidolin Pegorari ', 'player_number': ' 1'}]","['Bomfim de Jesus', 'dos Santos', 'Pereira do Nascimento', 'de Arruda Serafim', 'da Silva de Souza', 'Fernandes dos Santos', 'de Jesus Pacheco', 'Loiola da Silva', 'Ferreira da Silva', 'Benicio da Silva', 'de Oliveira Costa']","['89', '80', '8', '11', '21', '7', '6', '23', '44', '27', '91']","['Pereira Duarte', 'Claudino Rego Ferreira', 'de Moraes Rodrigues', 'Oliveira Lima', 'Ferreira Neris', 'Rabelo Costa', 'Kempf Schwade', 'da Silva', 'Mendes Alves', 'Alves Soares', 'Guidolin Pegorari']","['29', '63', '20', '50', '88', '26', '36', '4', '34', '2', '1']"
8,Matchday 38,13/11/2022,Paranaense,Botafogo,3,0,0.4,0.6,24,9,10,4,0.51,0.49,0.49,0.06,0.45,11183,Arena da Baixada,"[{'player_name': ' Roque Ferreira ', 'player_number': ' 39'}, {'player_name': ' Naum dos Santos ', 'player_number': ' 11'}, {'player_name': ' Menezes Santana ', 'player_number': ' 80'}, {'player_name': ' Fernandinho ', 'player_number': ' 5'}, {'player_name': ' Terans ', 'player_number': ' 20'}, {'player_name': ' Conrado Carvalho ', 'player_number': ' 26'}, {'player_name': ' da Silva Santos ', 'player_number': ' 16'}, {'player_name': ' Henrique Ferreira ', 'player_number': ' 44'}, {'player_name': ' Santos Nascimento ', 'player_number': ' 42'}, {'player_name': ' Silva Oliveira ', 'player_number': ' 13'}, {'player_name': ' Krepski ', 'player_number': ' 1'}]","[{'player_name': ' Soares ', 'player_number': ' 9'}, {'player_name': ' Pereira dos Santos ', 'player_number': ' 47'}, {'player_name': ' Fernandes da Silva ', 'player_number': ' 18'}, {'player_name': ' dos Santos Júnior ', 'player_number': ' 37'}, {'player_name': ' das Neves Pinheiro ', 'player_number': ' 6'}, {'player_name': ' de Paula Carreiro ', 'player_number': ' 8'}, {'player_name': ' Marçal de Oliveira ', 'player_number': ' 21'}, {'player_name': ' Cuesta ', 'player_number': ' 15'}, {'player_name': ' Lima Silva ', 'player_number': ' 34'}, {'player_name': ' Fortunato Borges ', 'player_number': ' 20'}, {'player_name': ' Perri ', 'player_number': ' 12'}]","['Roque Ferreira', 'Naum dos Santos', 'Menezes Santana', 'Fernandinho', 'Terans', 'Conrado Carvalho', 'da Silva Santos', 'Henrique Ferreira', 'Santos Nascimento', 'Silva Oliveira', 'Krepski']","['39', '11', '80', '5', '20', '26', '16', '44', '42', '13', '1']","['Soares', 'Pereira dos Santos', 'Fernandes da Silva', 'dos Santos Júnior', 'das Neves Pinheiro', 'de Paula Carreiro', 'Marçal de Oliveira', 'Cuesta', 'Lima Silva', 'Fortunato Borges', 'Perri']","['9', '47', '18', '37', '6', '8', '21', '15', '34', '20', '12']"
9,Matchday 38,13/11/2022,Santos,Fortaleza,0,2,0.47,0.53,14,13,3,6,0.49,0.51,0.57,0.06,0.37,18971,Estádio Vila Belmiro (Urbano Caldeira),"[{'player_name': ' Santos Almeida ', 'player_number': ' 9'}, {'player_name': ' Carabajal ', 'player_number': ' 5'}, {'player_name': ' Santos Goes ', 'player_number': ' 6'}, {'player_name': ' Borges Damaceno ', 'player_number': ' 11'}, {'player_name': ' Fernández ', 'player_number': ' 14'}, {'player_name': ' de Aguiar Camacho ', 'player_number': ' 29'}, {'player_name': ' Pires Silva ', 'player_number': ' 44'}, {'player_name': ' do Nascimento dos Santos ', 'player_number': ' 2'}, {'player_name': ' Maicon ', 'player_number': ' 33'}, {'player_name': ' Santos de Araújo ', 'player_number': ' 16'}, {'player_name': ' Silva Martins ', 'player_number': ' 34'}]","[{'player_name': ' Galhardo do Nascimento Rocha ', 'player_number': ' 91'}, {'player_name': ' Silva de Souza ', 'player_number': ' 11'}, {'player_name': ' Rocha Neves ', 'player_number': ' 32'}, {'player_name': ' Souza e Silva ', 'player_number': ' 8'}, {'player_name': ' da Silva ', 'player_number': ' 17'}, {'player_name': ' Pereira do Nascimento ', 'player_number': ' 35'}, {'player_name': ' da Rocha Junior ', 'player_number': ' 29'}, {'player_name': ' Chagas Tarouco ', 'player_number': ' 4'}, {'player_name': ' Brítez ', 'player_number': ' 19'}, {'player_name': ' de Jesus da Silva ', 'player_number': ' 2'}, {'player_name': ' Kaufmann ', 'player_number': ' 16'}]","['Santos Almeida', 'Carabajal', 'Santos Goes', 'Borges Damaceno', 'Fernández', 'de Aguiar Camacho', 'Pires Silva', 'do Nascimento dos Santos', 'Maicon', 'Santos de Araújo', 'Silva Martins']","['9', '5', '6', '11', '14', '29', '44', '2', '33', '16', '34']","['Galhardo do Nascimento Rocha', 'Silva de Souza', 'Rocha Neves', 'Souza e Silva', 'da Silva', 'Pereira do Nascimento', 'da Rocha Junior', 'Chagas Tarouco', 'Brítez', 'de Jesus da Silva', 'Kaufmann']","['91', '11', '32', '8', '17', '35', '29', '4', '19', '2', '16']"
10,Matchday 38,12/11/2022,Flamengo,Avaí,1,2,0.66,0.34,17,15,4,8,0.44,0.56,0.92,0.02,0.06,49995,Estadio do Maracanã,"[{'player_name': ' Sousa Soares ', 'player_number': ' 11'}, {'player_name': ' Barbosa Almeida ', 'player_number': ' 9'}, {'player_name': ' Santos Costa ', 'player_number': ' 31'}, {'player_name': ' Vidal ', 'player_number': ' 32'}, {'player_name': ' Ribas da Cunha ', 'player_number': ' 10'}, {'player_name': ' Gomes da Silva ', 'player_number': ' 35'}, {'player_name': ' Dantas de Medeiros ', 'player_number': ' 6'}, {'player_name': ' Pereira ', 'player_number': ' 4'}, {'player_name': ' Luiz ', 'player_number': ' 23'}, {'player_name': ' de Almeida ', 'player_number': ' 22'}, {'player_name': ' Alves ', 'player_number': ' 1'}]","[{'player_name': ' Alves de Paula ', 'player_number': ' 87'}, {'player_name': ' da Silva Rosa ', 'player_number': ' 27'}, {'player_name': ' de Biasi ', 'player_number': ' 22'}, {'player_name': ' de Souza Ventura ', 'player_number': ' 5'}, {'player_name': ' Santos da Silva ', 'player_number': ' 16'}, {'player_name': ' de Sousa Júnior ', 'player_number': ' 19'}, {'player_name': ' Batista Pimienta ', 'player_number': ' 25'}, {'player_name': ' Florencio da Silva ', 'player_number': ' 35'}, {'player_name': ' Ferreira Nascimento ', 'player_number': ' 15'}, {'player_name': ' Oleques ', 'player_number': ' 72'}, {'player_name': ' Ribeiro dos Santos ', 'player_number': ' 83'}]","['Sousa Soares', 'Barbosa Almeida', 'Santos Costa', 'Vidal', 'Ribas da Cunha', 'Gomes da Silva', 'Dantas de Medeiros', 'Pereira', 'Luiz', 'de Almeida', 'Alves']","['11', '9', '31', '32', '10', '35', '6', '4', '23', '22', '1']","['Alves de Paula', 'da Silva Rosa', 'de Biasi', 'de Souza Ventura', 'Santos da Silva', 'de Sousa Júnior', 'Batista Pimienta', 'Florencio da Silva', 'Ferreira Nascimento', 'Oleques', 'Ribeiro dos Santos']","['87', '27', '22', '5', '16', '19', '25', '35', '15', '72', '83']"
